ID,duration of routing servers update (in ms)
2022-04-06T20:41:25Z,44866
2022-04-06T20:46:27Z,45662
2022-04-06T20:52:13Z,92126
2022-04-06T20:56:28Z,47271
2022-04-06T21:01:27Z,46082
2022-04-06T21:06:27Z,46622
2022-04-06T21:11:28Z,47195
2022-04-06T21:16:26Z,45510
2022-04-06T21:21:27Z,46578
2022-04-06T21:26:28Z,47284
2022-04-06T21:31:27Z,46183
2022-04-06T21:36:27Z,46706
2022-04-06T21:41:27Z,46783
2022-04-06T21:46:26Z,45904
2022-04-06T21:51:28Z,47299
2022-04-06T21:56:27Z,46411
2022-04-06T22:01:27Z,46680
2022-04-06T22:06:28Z,46949
2022-04-06T22:11:27Z,46879
2022-04-06T22:16:28Z,47795
2022-04-06T22:21:28Z,47282
2022-04-06T22:26:28Z,47884
2022-04-06T22:31:28Z,47186
2022-04-06T22:36:28Z,47645
2022-04-06T22:41:27Z,46706
2022-04-06T22:46:28Z,47170
2022-04-06T22:51:28Z,47327
2022-04-06T22:56:28Z,47508
2022-04-06T23:01:27Z,46999
2022-04-06T23:06:28Z,47144
2022-04-06T23:11:28Z,47066
2022-04-06T23:16:30Z,49224
2022-04-06T23:21:29Z,48156
2022-04-06T23:26:30Z,49157
2022-04-06T23:31:29Z,47970
2022-04-06T23:36:30Z,49302
2022-04-06T23:41:29Z,48889
2022-04-06T23:46:29Z,48340
2022-04-06T23:51:29Z,48255
2022-04-06T23:56:28Z,47711
2022-04-07T00:01:30Z,49795
2022-04-07T00:06:29Z,48247
2022-04-07T00:11:29Z,48034
2022-04-07T00:16:29Z,48038
2022-04-07T00:21:29Z,48121
2022-04-07T00:26:29Z,48351
2022-04-07T00:31:30Z,49286
2022-04-07T00:36:29Z,48583
2022-04-07T00:41:29Z,48317
2022-04-07T00:46:30Z,49588
2022-04-07T00:51:39Z,58456
2022-04-07T00:56:29Z,48381
2022-04-07T01:01:30Z,49213
2022-04-07T01:06:30Z,49387
2022-04-07T01:11:30Z,49613
2022-04-07T01:16:30Z,49040
2022-04-07T01:21:30Z,49115
2022-04-07T01:26:30Z,49316
2022-04-07T01:31:29Z,48873
2022-04-07T01:36:30Z,49827
2022-04-07T01:41:32Z,51369
2022-04-07T01:46:30Z,49351
2022-04-07T01:51:31Z,50438
2022-04-07T01:56:30Z,49199
2022-04-07T02:01:30Z,49451
2022-04-07T02:06:30Z,49758
2022-04-07T02:11:31Z,50968
2022-04-07T02:16:31Z,50645
2022-04-07T02:21:31Z,50429
2022-04-07T02:26:31Z,50218
2022-04-07T02:31:32Z,51046
2022-04-07T02:36:30Z,49409
2022-04-07T02:41:31Z,50071
2022-04-07T02:46:30Z,49051
2022-04-07T02:51:31Z,50090
2022-04-07T02:56:31Z,50170
2022-04-07T03:01:32Z,51243
2022-04-07T03:06:32Z,51377
2022-04-07T03:11:31Z,50059
2022-04-07T03:16:31Z,50483
2022-04-07T03:21:31Z,50454
2022-04-07T03:26:31Z,50669
2022-04-07T03:31:33Z,51999
2022-04-07T03:36:31Z,50505
2022-04-07T03:41:31Z,50385
2022-04-07T03:46:31Z,50638
2022-04-07T03:51:32Z,51378
2022-04-07T03:56:32Z,51524
2022-04-07T04:01:31Z,50506
2022-04-07T04:06:31Z,50832
2022-04-07T04:11:31Z,50272
2022-04-07T04:16:31Z,50523
2022-04-07T04:21:32Z,51894
2022-04-07T04:26:33Z,52545
2022-04-07T04:31:33Z,52663
2022-04-07T04:36:32Z,51545
2022-04-07T04:41:34Z,53504
2022-04-07T04:46:34Z,53189
2022-04-07T04:51:33Z,52653
2022-04-07T04:56:35Z,54068
2022-04-07T05:01:33Z,52495
2022-04-07T05:06:34Z,53186
2022-04-07T05:11:34Z,53088
2022-04-07T05:16:33Z,52451
2022-04-07T05:21:35Z,54107
2022-04-07T05:26:34Z,53682
2022-04-07T05:31:40Z,59251
2022-04-07T05:36:35Z,54234
2022-04-07T05:41:35Z,54303
2022-04-07T05:46:35Z,54065
2022-04-07T05:51:35Z,54655
2022-04-07T05:56:35Z,54664
2022-04-07T06:01:35Z,54081
2022-04-07T06:06:35Z,54927
2022-04-07T06:11:35Z,54087
2022-04-07T06:16:37Z,56579
2022-04-07T06:21:36Z,55993
2022-04-07T06:26:47Z,66003
2022-04-07T06:31:45Z,63076
2022-04-07T06:36:46Z,65556
2022-04-07T06:41:48Z,65099
2022-04-07T06:46:45Z,64896
2022-04-07T06:51:45Z,64849
2022-04-07T06:56:46Z,65198
2022-04-07T07:02:00Z,79810
2022-04-07T07:06:45Z,64912
2022-04-07T07:11:45Z,64515
2022-04-07T07:16:45Z,64674
2022-04-07T07:21:47Z,66137
2022-04-07T07:26:47Z,66850
2022-04-07T07:31:47Z,66787
2022-04-07T07:36:45Z,64871
2022-04-07T07:41:47Z,66677
2022-04-07T07:46:49Z,68733
2022-04-07T07:51:50Z,69108
2022-04-07T07:56:48Z,67984
2022-04-07T08:01:51Z,68103
2022-04-07T08:06:49Z,68828
2022-04-07T08:11:48Z,67903
2022-04-07T08:16:51Z,70021
2022-04-07T08:21:51Z,70827
2022-04-07T08:26:52Z,71529
2022-04-07T08:31:41Z,60786
2022-04-07T08:36:42Z,61481
2022-04-07T08:41:42Z,61216
2022-04-07T08:46:43Z,62078
2022-04-07T08:51:43Z,62126
2022-04-07T08:56:42Z,61724
2022-04-07T09:01:41Z,60692
2022-04-07T09:06:42Z,61078
2022-04-07T09:11:44Z,63083
2022-04-07T09:16:42Z,61151
2022-04-07T09:21:45Z,62690
2022-04-07T09:26:43Z,62917
2022-04-07T09:31:46Z,65321
2022-04-07T09:36:43Z,62379
2022-04-07T09:41:42Z,61960
2022-04-07T09:46:43Z,62662
2022-04-07T09:51:42Z,61477
2022-04-07T09:56:45Z,64312
2022-04-07T10:01:47Z,66746
2022-04-07T10:06:44Z,63079
2022-04-07T10:11:44Z,63554
2022-04-07T10:16:49Z,68156
2022-04-07T10:21:43Z,62013
2022-04-07T10:26:46Z,64307
2022-04-07T10:31:44Z,63772
2022-04-07T10:36:46Z,65255
2022-04-07T10:41:45Z,64664
2022-04-07T10:46:44Z,63570
2022-04-07T10:51:45Z,64415
2022-04-07T10:56:47Z,66170
2022-04-07T11:01:46Z,65165
2022-04-07T11:06:44Z,63902
2022-04-07T11:11:46Z,65912
2022-04-07T11:16:45Z,64720
2022-04-07T11:21:46Z,65370
2022-04-07T11:26:46Z,65767
2022-04-07T11:31:46Z,65069
2022-04-07T11:36:46Z,65747
2022-04-07T11:41:47Z,66139
2022-04-07T11:46:49Z,68104
2022-04-07T11:51:47Z,66560
2022-04-07T11:56:48Z,67290
2022-04-07T12:01:49Z,68584
2022-04-07T12:06:48Z,67721
2022-04-07T12:11:46Z,65672
2022-04-07T12:17:42Z,121634
2022-04-07T12:21:47Z,66842
2022-04-07T12:26:50Z,69008
2022-04-07T12:31:48Z,67605
2022-04-07T12:36:47Z,66062
2022-04-07T12:41:48Z,67684
2022-04-07T12:46:48Z,67451
2022-04-07T12:51:47Z,66940
2022-04-07T12:56:49Z,68746
2022-04-07T13:01:51Z,70154
2022-04-07T13:06:50Z,69578
2022-04-07T13:11:57Z,76162
2022-04-07T13:16:48Z,67482
2022-04-07T13:21:51Z,70148
2022-04-07T13:26:54Z,73735
2022-04-07T13:31:49Z,68661
2022-04-07T13:37:08Z,87329
2022-04-07T13:41:49Z,68546
2022-04-07T13:47:42Z,121934
2022-04-07T13:51:51Z,70794
2022-04-07T13:56:52Z,71562
2022-04-07T14:01:51Z,70649
2022-04-07T14:06:54Z,70500
2022-04-07T14:11:53Z,71705
2022-04-07T14:16:52Z,71080
2022-04-07T14:21:51Z,70417
2022-04-07T14:26:52Z,71657
2022-04-07T14:31:53Z,72181
2022-04-07T14:36:51Z,70568
2022-04-07T14:41:52Z,71475
2022-04-07T14:46:52Z,71114
2022-04-07T14:51:51Z,70202
2022-04-07T14:56:53Z,72215
2022-04-07T15:01:54Z,73152
2022-04-07T15:06:52Z,71556
2022-04-07T15:11:54Z,73492
2022-04-07T15:16:54Z,73269
2022-04-07T15:21:54Z,73198
2022-04-07T15:26:53Z,72940
2022-04-07T15:31:52Z,71524
2022-04-07T15:36:53Z,72539
2022-04-07T15:41:53Z,72184
2022-04-07T15:46:57Z,73266
2022-04-07T15:51:56Z,75009
2022-04-07T15:56:56Z,75877
2022-04-07T16:01:55Z,74522
2022-04-07T16:06:53Z,72917
2022-04-07T16:11:55Z,74717
2022-04-07T16:16:56Z,75559
2022-04-07T16:21:56Z,75033
2022-04-07T16:26:55Z,74294
2022-04-07T16:31:56Z,75148
2022-04-07T16:36:55Z,73989
2022-04-07T16:41:54Z,73797
2022-04-07T16:46:56Z,73893
2022-04-07T16:51:57Z,76072
2022-04-07T16:56:57Z,76039
2022-04-07T17:01:56Z,75012
2022-04-07T17:06:55Z,74902
2022-04-07T17:11:57Z,76755
2022-04-07T17:16:57Z,76166
2022-04-07T17:21:57Z,76719
2022-04-07T17:26:57Z,76519
2022-04-07T17:31:57Z,76737
2022-04-07T17:36:57Z,76464
2022-04-07T17:41:58Z,77763
2022-04-07T17:46:59Z,77999
2022-04-07T17:51:58Z,77882
2022-04-07T17:56:57Z,76494
2022-04-07T18:01:58Z,77838
2022-04-07T18:06:57Z,76713
2022-04-07T18:11:57Z,76863
2022-04-07T18:16:58Z,77701
2022-04-07T18:22:01Z,80321
2022-04-07T18:26:59Z,78591
2022-04-07T18:31:58Z,77689
2022-04-07T18:37:00Z,79432
2022-04-07T18:41:59Z,78366
2022-04-07T18:47:00Z,79782
2022-04-07T18:51:59Z,78670
2022-04-07T18:57:00Z,79430
2022-04-07T19:01:59Z,78540
2022-04-07T19:06:59Z,78200
2022-04-07T19:12:00Z,79547
2022-04-07T19:17:00Z,79483
2022-04-07T19:21:59Z,78147
2022-04-07T19:27:00Z,79533
2022-04-07T19:32:00Z,79340
2022-04-07T19:37:02Z,81100
2022-04-07T19:42:01Z,80336
2022-04-07T19:46:59Z,78930
2022-04-07T19:52:00Z,79704
2022-04-07T19:57:01Z,80378
2022-04-07T20:02:01Z,80218
2022-04-07T20:06:59Z,78788
2022-04-07T20:12:01Z,80081
2022-04-07T20:17:01Z,80012
2022-04-07T20:22:01Z,80644
2022-04-07T20:27:00Z,79446
2022-04-07T20:32:01Z,80244
2022-04-07T20:37:02Z,79150
2022-04-07T20:42:01Z,79699
2022-04-07T20:47:02Z,81691
2022-04-07T20:52:00Z,79437
2022-04-07T20:57:03Z,82255
2022-04-07T21:02:04Z,83444
2022-04-07T21:07:03Z,82136
2022-04-07T21:12:29Z,108323
2022-04-07T21:17:02Z,81734
2022-04-07T21:22:02Z,81187
2022-04-07T21:27:02Z,81916
2022-04-07T21:32:03Z,82055
2022-04-07T21:37:02Z,81937
2022-04-07T21:42:03Z,82130
2022-04-07T21:47:02Z,81284
2022-04-07T21:52:02Z,81894
2022-04-07T21:57:02Z,81438
2022-04-07T22:02:03Z,81980
2022-04-07T22:07:03Z,82035
2022-04-07T22:12:06Z,84981
2022-04-07T22:17:05Z,84583
2022-04-07T22:22:05Z,84224
2022-04-07T22:27:04Z,83543
2022-04-07T22:32:02Z,81532
2022-04-07T22:37:02Z,81255
2022-04-07T22:42:03Z,82971
2022-04-07T22:47:03Z,82381
2022-04-07T22:52:03Z,82153
2022-04-07T22:57:05Z,84228
2022-04-07T23:02:05Z,84659
2022-04-07T23:07:03Z,82872
2022-04-07T23:12:06Z,85518
2022-04-07T23:17:04Z,83175
2022-04-07T23:22:06Z,85540
2022-04-07T23:27:04Z,83775
2022-04-07T23:32:04Z,83220
2022-04-07T23:37:03Z,82921
2022-04-07T23:42:03Z,82525
2022-04-07T23:47:04Z,83812
2022-04-07T23:52:04Z,83032
2022-04-07T23:57:06Z,85263
